time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
1500,2021-10-16 19:01:39,29.4072020700816,-82.1690821538116,0,0,58.927193814804,58.927193814804,0,0,0.106250331484,13,4,0,58.927193814804,0,0,0.106250331484,0,0,0,91.8, -1.6, -3.3,0,0,1024,1024,1024,1024,0,0,99,,,,,,,0,32,58.927193814804,0,41,Motors_Started,
1600,2021-10-16 19:01:39,29.4072020562561,-82.1690821234314,0,0,58.927193814804,58.927193814804,0,0,0.11693569928,13,4,0,58.927193814804,0,0,0.11693569928,0,0,0,91.8, -1.6, -3.3,0,0,1024,1024,1024,1024,0,0,99,,,,,,,0,32,58.927193814804,0,41,Motors_Started,
1700,2021-10-16 19:01:39,29.4072020437773,-82.1690820988364,0,0,58.927193814804,58.927193814804,0,0,0.125755581452,13,4,0,58.927193814804,0,0,0.125755581452,0,0,0,91.8, -1.6, -3.3,0,0,1024,1024,1024,1024,0,0,99,,,,,,,0,32,58.927193814804,0,41,Motors_Started,
1800,2021-10-16 19:01:39,29.4072020002474,-82.1690821078635,0,0,58.927193814804,58.927193814804,0,0,0.128884846644,13,4,0,58.927193814804,0,0,0.128884846644,0,0,0,91.8, -1.6, -3.3,0,0,1024,1024,1024,1024,0,0,99,,,,,,,0,32,58.927193814804,0,41,Motors_Started,
1900,2021-10-16 19:01:39,29.4072019681458,-82.1690820997117,0,0,58.927193814804,58.927193814804,0,0,0.136509518804,13,4,0,58.927193814804,0,0,0.136509518804,0,0,0,91.8, -1.6, -3.3,0,0,1024,1024,1024,1024,0,0,99,,,,,,,0,32,58.927193814804,0,41,Motors_Started,
2000,2021-10-16 19:01:39,29.4072019451278,-82.1690821193595,0,0,58.927193814804,58.927193814804,0,0,0.13551017494,13,4,0,58.927193814804,0,0,0.136509518804,0,0,0,91.8, -1.6, -3.3,0,0,1024,1024,1024,1024,0,0,99,,,,,,,0,32,58.927193814804,0,10,Assisted_Takeoff,
2100,2021-10-16 19:01:39,29.4072019319846,-82.1690821183395,0,0,58.927193814804,58.927193814804,0,0,0.138470476872,13,4,0,58.927193814804,0,0,0.138470476872,0,0,0,91.8, -1.6, -3.3,0,0,1024,1024,1024,1024,0,0,99,,,,,,,0,32,58.927193814804,0,10,Assisted_Takeoff,
2200,2021-10-16 19:01:39,29.4072018923874,-82.1690821398663,0,0,58.927193814804,58.927193814804,0,0,0.142012471736,13,4,0,58.927193814804,0,0,0.142012471736,0,0,0,91.8, -1.6, -3.3,0,0,1024,1024,1024,1024,0,0,99,,,,,,,0,32,58.927193814804,0,10,Assisted_Takeoff,
2300,2021-10-16 19:01:40,29.4072018599618,-82.1690821458602,0,0,58.927193814804,58.927193814804,0,0,0.148737537568,13,4,0,58.927193814804,0,0,0.148737537568,0,0,0,91.8, -1.5, -3.3,0,0,1024,1024,1024,1024,0,0,99,,,,,,,0,32,58.927193814804,0,10,Assisted_Takeoff,
2400,2021-10-16 19:01:40,29.4072018347795,-82.169082133177,0,0,58.927193814804,58.927193814804,0,0,0.158140096924,13,4,0,58.927193814804,0,0,0.158140096924,0,0,0,91.8, -1.6, -3.3,0,0,1024,1024,1024,1024,0,0,99,,,,,,,0,32,58.927193814804,0,10,Assisted_Takeoff,
